iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
.81999999,.026462,3420,0,1,61,0,1,0,61,53
.75,.11155,1412,0,0,53,0,1,0,53,26
.64999998,.153956,2609,1,0,53,0,1,0,53,26
.75,.11029,1412,0,0,26,0,1,0,26,0
.69999999,.323259,2700,0,1,53,0,1,0,53,26
.69999999,.231089,4508,0,0,82,0,1,0,82,78
.68000001,.075094,4410,1,0,53,0,1,0,53,26
.75,.105355,3415,0,0,67,0,1,0,67,65
.76999998,.143224,1501,0,1,63,1,1,1,63,53
.75,.103009,605,0,0,79,0,1,0,79,78
.72000003,.267304,1903,0,1,65,0,1,0,65,53
.70999998,.20129199,520,0,0,75,0,1,0,75,65
.81999999,.016241999,3420,0,1,26,0,1,0,26,0
.68000001,.069881,4410,1,0,26,0,1,0,26,0
.76999998,.14058299,701,0,1,26,0,1,0,26,0
.76999998,.13938101,3418,0,1,53,0,1,0,53,26
.76999998,.13935199,3418,0,1,71,0,1,0,71,65
.61000001,.53785801,3302,0,1,78,0,1,0,78,65
.69999999,.31330001,526,0,1,53,0,1,0,53,26
.67000002,.092187002,4219,1,0,53,0,1,0,53,26
.72000003,.173236,1506,0,0,26,0,1,0,26,0
.69999999,.223125,4508,0,0,78,0,1,0,78,65
.61000001,.53667301,3302,0,1,89,0,1,0,89,78
.73000002,.030152,203,1,1,26,0,1,0,26,0
.75,.096399002,3005,0,0,26,0,1,0,26,0
.69,.335123,3601,0,1,65,0,1,0,65,53
.67000002,.089607999,4219,1,0,63,0,1,0,63,53
.72000003,.259783,2204,0,1,70,0,1,0,70,65
.76999998,.1345,3418,0,1,65,0,1,0,65,53
.63,.188428,3901,1,0,26,0,1,0,26,0
.81,.034658998,3409,0,1,65,0,1,0,65,53
.81,.033199001,3409,0,1,26,0,1,0,26,0
.73000002,.23255201,3103,0,1,26,0,1,0,26,0
.69999999,.30734101,526,0,1,65,0,1,0,65,53
.76999998,.132478,3010,0,1,53,0,1,0,53,26
.76999998,.132341,3010,0,1,26,0,1,0,26,0
.70999998,.192105,543,0,0,75,0,1,0,75,65
.67000002,.17520501,207,1,1,68,0,1,0,68,65
.76999998,.130934,3418,0,1,26,0,1,0,26,0
.72000003,.25563201,524,0,1,26,0,1,0,26,0
.66000003,.19889399,4204,1,1,53,0,1,0,53,26
.69999999,.304903,2700,0,1,65,0,1,0,65,53
.81,.028919,3409,0,1,53,0,1,0,53,26
.64999998,.33772901,3305,0,0,53,0,1,0,53,26
.70999998,.187683,520,0,0,53,0,1,0,53,26
.72000003,.25195599,1903,0,1,53,0,1,0,53,26
.81999999,.001932,1402,0,1,64,0,1,0,64,53
.64999998,.13065401,2609,1,0,26,0,1,0,26,0
.67000002,.37507799,4506,0,1,78,0,1,0,78,65
.76999998,.12554701,1501,0,1,53,0,1,0,53,26
.75,.085795999,605,0,0,65,0,1,0,65,53
.81999999,.000611,1402,0,1,53,0,1,0,53,26
.64999998,.33482501,3305,0,0,65,0,1,0,65,53
.81999999,.000014,1402,0,1,26,0,1,0,26,0
.75,.084053002,605,0,0,78,0,1,0,78,65
.67000002,.077698998,4222,1,0,26,0,1,0,26,0
.64999998,.33341399,3305,0,0,26,0,1,0,26,0
.63999999,.44730499,1419,0,1,46,0,1,0,46,26
.72000003,.24721301,509,0,1,55,0,1,0,55,53
.72000003,.24714901,2205,0,1,12,0,1,0,12,0
.69999999,.207072,3322,0,0,78,0,1,0,78,65
.67000002,.16453101,207,1,1,65,0,1,0,65,53
.70999998,.26984599,2304,0,1,26,0,1,0,26,0
.67000002,.36852601,513,0,1,53,0,1,0,53,26
.72000003,.24319801,509,0,1,53,0,1,0,53,26
.80000001,.043524999,1802,0,1,53,0,1,0,53,26
.66000003,.18600801,4204,1,1,63,0,1,0,63,53
.72000003,.24174701,2108,0,1,26,0,1,0,26,0
.75999999,.139962,4507,0,1,78,0,1,0,78,65
.66000003,.29938501,3713,0,0,65,0,1,0,65,53
.75,.074721999,605,0,0,26,0,1,0,26,0
.75999999,.138475,4601,0,1,26,0,1,0,26,0
.67000002,.36049601,3014,0,1,75,0,1,0,75,65
.67000002,.36025101,513,0,1,75,0,1,0,75,65
.80000001,.034582999,1802,0,1,26,0,1,0,26,0
.69999999,.192983,3011,0,0,26,0,1,0,26,0
.70999998,.050971001,4212,1,1,61,0,1,0,61,53
.75,.066886999,3415,0,0,65,0,1,0,65,53
.70999998,.166583,543,0,0,53,0,1,0,53,26
.75,.066643,605,0,0,53,0,1,0,53,26
.70999998,.166366,1902,0,0,89,0,1,0,89,78
.69999999,.28040799,2201,0,1,53,0,1,0,53,26
.76999998,.016294001,3719,0,0,72,0,1,0,72,65
.72000003,.140567,1410,0,0,64,0,1,0,64,53
.70999998,.16549,543,0,0,26,0,1,0,26,0
.75,.065637998,3415,0,0,53,0,1,0,53,26
.80000001,.028982,1802,0,1,78,0,1,0,78,65
.70999998,.163551,520,0,0,26,0,1,0,26,0
.76999998,.103055,1501,0,1,26,0,1,0,26,0
.73000002,.113116,1414,0,0,64,0,1,0,64,53
.70999998,.162266,704,0,0,81,0,1,0,81,65
.72000003,.136517,1410,0,0,53,0,1,0,53,26
.75,.060672998,3326,0,0,26,0,1,0,26,0
.76999998,.010735,3719,0,0,53,0,1,0,53,26
.75,.060281001,3326,0,0,53,0,1,0,53,26
.69999999,.27430901,526,0,1,75,0,1,0,75,65
.70999998,.158756,520,0,0,65,0,1,0,65,53
.80000001,.023241,1802,0,1,90,0,1,0,90,78
.76999998,.0077320002,3719,0,0,65,0,1,0,65,53
.66000003,.076127,915,1,0,26,0,1,0,26,0
