id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
400,,someone else,33,14,,14,male,,50.700001,28.6,73.199997
401,,someone else,73,12,6,6,male,extremely liberal,76.400002,32,
402,41,someone else,38,12,10,12,female,moderate,53.299999,54.200001,38.900002
403,40,someone else,40,12,,13,male,,29.4,,38
404,40,someone else,29,12,,12,female,,36.5,,38
405,45,someone else,49,12,,,female,conservative,41.599998,,
406,60,someone else,26,13,16,13,male,moderate,44.700001,53.099998,63.5
407,40,someone else,30,13,6,9,female,,36.5,29.200001,29.200001
408,65,self-employed,54,14,12,12,female,conservative,26.4,48.5,32.400002
409,,someone else,27,14,6,14,male,slightly liberal,65.800003,50.700001,43.700001
410,,someone else,40,14,6,8,female,,33.099998,26.5,
411,,someone else,30,18,20,16,male,,48.599998,,63.5
412,40,someone else,45,20,12,12,female,conservative,82.699997,37.299999,
413,45,someone else,22,13,14,14,female,moderate,65.800003,65.800003,38.400002
414,60,someone else,32,12,,0,male,slightly liberal,27.5,,26.700001
415,,someone else,24,12,12,14,female,,33.099998,31.5,38
416,30,someone else,35,13,12,14,female,moderate,38.400002,49.599998,65.800003
417,45,someone else,32,16,14,9,male,moderate,83.699997,64.099998,26.700001
418,40,someone else,31,17,12,13,female,moderate,78.5,50.700001,38.900002
419,45,someone else,65,17,8,12,male,,86.599998,30.1,
420,55,someone else,60,16,6,6,female,,29.4,37.299999,
421,,someone else,33,14,12,5,female,slghtly conservative,38.700001,53.900002,29.299999
422,40,someone else,24,14,,10,female,moderate,38.400002,,
423,63,someone else,34,6,,6,male,,48.900002,37.299999,
424,,someone else,30,15,,12,male,moderate,83.699997,,
425,35,someone else,36,15,,12,female,,73.199997,,17.1
426,40,someone else,38,14,,12,female,,38.400002,,33.099998
427,,someone else,28,16,,10,female,conservative,38.900002,,63.200001
428,,someone else,42,16,,20,female,liberal,62.099998,,
429,,,24,,,,female,,,,
430,8,self-employed,38,18,12,9,female,,84.699997,32.299999,50.700001
431,35,someone else,40,16,14,16,male,slightly liberal,75.199997,31.4,
432,60,self-employed,31,16,18,,female,liberal,60.599998,50.700001,
433,80,someone else,26,16,12,12,male,moderate,63.5,63.5,
434,45,someone else,33,18,18,16,male,,73.599998,86.5,
435,,someone else,67,12,3,3,male,slghtly conservative,37.299999,38,26.4
