year,id,wrkstat,hrs1,marital,sex,pres00,pres04,polviews,happy,health,abany,premarsx,pornlaw
2006,2604,WORKING FULLTIME,80,MARRIED,MALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2605,WORKING FULLTIME,80,MARRIED,MALE,BUSH,BUSH,MODERATE,PRETTY HAPPY,GOOD,NO,,LEGAL
2006,2606,WORKING PARTTIME,35,MARRIED,MALE,,BUSH,CONSERVATIVE,,GOOD,,,
2006,2607,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,LIBERAL,,GOOD,,,
2006,2608,WORKING FULLTIME,60,MARRIED,MALE,,KERRY,LIBERAL,,EXCELLENT,,,
2006,2609,WORKING FULLTIME,40,WIDOWED,MALE,GORE,KERRY,LIBERAL,NOT TOO HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,2610,WORKING FULLTIME,43,NEVER MARRIED,MALE,,,LIBERAL,,FAIR,,,
2006,2611,WORKING FULLTIME,45,DIVORCED,MALE,GORE,BUSH,SLIGHTLY LIBERAL,PRETTY HAPPY,,,SOMETIMES WRONG,ILLEGAL UNDER 18
2006,2612,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,2613,KEEPING HOUSE,,MARRIED,FEMALE,,,MODERATE,,FAIR,,,
2006,2614,WORKING FULLTIME,55,MARRIED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,VERY HAPPY,EXCELLENT,YES,,ILLEGAL UNDER 18
2006,2615,WORKING FULLTIME,45,SEPARATED,MALE,,,,VERY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,2616,WORKING FULLTIME,50,MARRIED,FEMALE,DIDNT VOTE,BUSH,SLIGHTLY LIBERAL,VERY HAPPY,EXCELLENT,NO,,ILLEGAL TO ALL
2006,2617,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,SLGHTLY CONSERVATIVE,PRETTY HAPPY,EXCELLENT,YES,ALWAYS WRONG,
2006,2618,"UNEMPL, LAID OFF",,NEVER MARRIED,FEMALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,2619,WORKING PARTTIME,30,NEVER MARRIED,FEMALE,,BUSH,CONSERVATIVE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,2620,SCHOOL,,NEVER MARRIED,MALE,,BUSH,SLGHTLY CONSERVATIVE,,EXCELLENT,,,
2006,2621,WORKING FULLTIME,60,MARRIED,MALE,GORE,KERRY,SLGHTLY CONSERVATIVE,VERY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,2622,WORKING FULLTIME,40,NEVER MARRIED,FEMALE,,KERRY,MODERATE,PRETTY HAPPY,GOOD,YES,,ILLEGAL UNDER 18
2006,2623,WORKING FULLTIME,63,MARRIED,MALE,GORE,KERRY,MODERATE,PRETTY HAPPY,EXCELLENT,NO,,ILLEGAL UNDER 18
2006,2624,WORKING PARTTIME,30,MARRIED,FEMALE,BUSH,BUSH,EXTRMLY CONSERVATIVE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,2625,KEEPING HOUSE,,WIDOWED,FEMALE,BUSH,BUSH,EXTRMLY CONSERVATIVE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
2006,2626,"UNEMPL, LAID OFF",,NEVER MARRIED,MALE,BUSH,BUSH,EXTRMLY CONSERVATIVE,PRETTY HAPPY,POOR,NO,,ILLEGAL UNDER 18
2006,2627,WORKING FULLTIME,40,MARRIED,MALE,,BUSH,CONSERVATIVE,,EXCELLENT,,,
2006,2628,WORKING FULLTIME,50,DIVORCED,MALE,,KERRY,LIBERAL,,FAIR,,,
2006,2629,WORKING FULLTIME,40,DIVORCED,FEMALE,BUSH,,MODERATE,PRETTY HAPPY,GOOD,NO,SOMETIMES WRONG,
2006,2630,RETIRED,,WIDOWED,FEMALE,BUSH,BUSH,SLGHTLY CONSERVATIVE,PRETTY HAPPY,GOOD,NO,,ILLEGAL UNDER 18
2006,2631,KEEPING HOUSE,,MARRIED,FEMALE,,BUSH,MODERATE,,GOOD,,,
2006,2632,WORKING FULLTIME,55,DIVORCED,FEMALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,EXCELLENT,NO,,ILLEGAL TO ALL
2006,2633,RETIRED,,DIVORCED,FEMALE,GORE,KERRY,MODERATE,NOT TOO HAPPY,POOR,NO,NOT WRONG AT ALL,
2006,2634,KEEPING HOUSE,,MARRIED,FEMALE,,BUSH,CONSERVATIVE,,GOOD,,,
2006,2635,TEMP NOT WORKING,,NEVER MARRIED,FEMALE,,BUSH,MODERATE,,FAIR,,,
2006,2636,WORKING PARTTIME,16,MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,,,ALWAYS WRONG,ILLEGAL TO ALL
